x, n0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 1
13, 1
14, 1
15, 1
16, 1
17, 1
18, 1
19, 1
20, 1
21, 1
22, 1
23, 1
24, 2
25, 3
26, 2
27, 2
28, 2
29, 2
30, 2
31, 2
32, 2
33, 2
34, 2
35, 2
36, 3
37, 4
38, 5
39, 3
40, 3
41, 3
42, 3
43, 3
44, 3
45, 3
46, 3
47, 3
48, 4
49, 5
50, 6
51, 7
52, 4
53, 4
54, 4
55, 4
56, 4
57, 4
58, 4
59, 4
60, 5
61, 6
62, 7
63, 8
64, 9
65, 5
66, 5
67, 5
68, 5
69, 5
70, 5
71, 5
72, 6
73, 7
74, 8
75, 9
76, 10
77, 11
78, 6
79, 6
80, 6
81, 6
82, 6
83, 6
84, 7
85, 8
86, 9
87, 10
88, 11
89, 12
90, 13
91, 7
92, 7
93, 7
94, 7
95, 7
96, 8
97, 9
98, 10
99, 11
100, 12
101, 13
102, 14
103, 15
104, 8
105, 8
106, 8
107, 8
108, 9
109, 10
110, 11
111, 12
112, 13
113, 14
114, 15
115, 16
116, 17
117, 9
118, 9
119, 9
120, 10
121, 11
122, 12
123, 13
124, 14
125, 15
126, 16
127, 17
128, 18
129, 19
130, 10
131, 10
132, 11
133, 12
134, 13
135, 14
136, 15
137, 16
138, 17
139, 18
140, 19
141, 20
142, 21
143, 11
144, 12
145, 13
146, 14
147, 15
148, 16
149, 17
150, 18
151, 19
152, 20
153, 21
154, 22
155, 23
156, 13
157, 14
158, 15
159, 16
160, 17
161, 18
162, 19
163, 20
164, 21
165, 22
166, 23
167, 24
168, 26
169, 14
170, 14
171, 14
172, 14
173, 14
174, 14
175, 14
176, 14
177, 14
178, 14
179, 14
180, 15
181, 16
182, 15
183, 15
184, 15
185, 15
186, 15
187, 15
188, 15
189, 15
190, 15
191, 15
192, 16
193, 17
194, 18
195, 16
196, 16
197, 16
198, 16
199, 16
200, 16
201, 16
202, 16
203, 16
204, 17
205, 18
206, 19
207, 20
208, 17
209, 17
210, 17
211, 17
212, 17
213, 17
214, 17
215, 17
216, 18
217, 19
218, 20
219, 21
220, 22
221, 18
222, 18
223, 18
224, 18
225, 18
226, 18
227, 18
228, 19
229, 20
230, 21
231, 22
232, 23
233, 24
234, 19
235, 19
236, 19
237, 19
238, 19
239, 19
240, 20
241, 21
242, 22
243, 23
244, 24
245, 25
246, 26
247, 20
248, 20
249, 20
250, 20
251, 20
252, 21
253, 22
254, 23
255, 24
256, 25
257, 26
258, 27
259, 28
260, 21
261, 21
262, 21
263, 21
264, 22
265, 23
266, 24
267, 25
268, 26
269, 27
270, 28
271, 29
272, 30
273, 22
274, 22
275, 22
276, 23
277, 24
278, 25
279, 26
280, 27
281, 28
282, 29
283, 30
284, 31
285, 32
286, 23
287, 23
288, 24
289, 25
290, 26
291, 27
292, 28
293, 29
294, 30
295, 31
296, 32
297, 33
298, 34
299, 24
300, 25
301, 26
302, 27
303, 28
304, 29
305, 30
306, 31
307, 32
308, 33
309, 34
310, 35
311, 36
312, 26
313, 27
314, 28
315, 29
316, 30
317, 31
318, 32
319, 33
320, 34
321, 35
322, 36
323, 37
324, 39
325, 53
326, 54
327, 55
328, 56
329, 57
330, 58
331, 59
332, 60
333, 61
334, 62
335, 63
336, 64
337, 66
338, 28
339, 28
340, 28
341, 28
342, 28
343, 28
344, 28
345, 28
346, 28
347, 28
348, 29
349, 30
350, 31
351, 29
352, 29
353, 29
354, 29
355, 29
356, 29
357, 29
358, 29
359, 29
360, 30
361, 31
362, 32
363, 33
364, 30
365, 30
366, 30
367, 30
368, 30
369, 30
370, 30
371, 30
372, 31
373, 32
374, 33
375, 34
376, 35
377, 31
378, 31
379, 31
380, 31
381, 31
382, 31
383, 31
384, 32
385, 33
386, 34
387, 35
388, 36
389, 37
390, 32
391, 32
392, 32
393, 32
394, 32
395, 32
396, 33
397, 34
398, 35
399, 36
400, 37
401, 38
402, 39
403, 33
404, 33
405, 33
406, 33
407, 33
408, 34
409, 35
410, 36
411, 37
412, 38
413, 39
414, 40
415, 41
416, 34
417, 34
418, 34
419, 34
420, 35
421, 36
422, 37
423, 38
424, 39
425, 40
