x, n0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 1
25, 1
26, 1
27, 1
28, 1
29, 2
30, 1
31, 1
32, 1
33, 1
34, 2
35, 1
36, 1
37, 1
38, 1
39, 2
40, 1
41, 1
42, 1
43, 1
44, 2
45, 1
46, 1
47, 1
48, 2
49, 3
50, 2
51, 2
52, 2
53, 3
54, 4
55, 2
56, 2
57, 2
58, 3
59, 4
60, 2
61, 2
62, 2
63, 3
64, 4
65, 2
66, 2
67, 2
68, 3
69, 4
70, 2
71, 2
72, 3
73, 4
74, 5
75, 3
76, 3
77, 4
78, 5
79, 6
80, 3
81, 3
82, 4
83, 5
84, 6
85, 3
86, 3
87, 4
88, 5
89, 6
90, 3
91, 3
92, 4
93, 5
94, 6
95, 3
96, 4
97, 5
98, 6
99, 7
100, 4
101, 5
102, 6
103, 7
104, 8
105, 4
106, 5
107, 6
108, 7
109, 8
110, 4
111, 5
112, 6
113, 7
114, 8
115, 4
116, 5
117, 6
118, 7
119, 8
120, 5
121, 6
122, 7
123, 8
124, 9
125, 5
126, 5
127, 5
128, 5
129, 5
130, 5
131, 5
132, 5
133, 5
134, 5
135, 5
136, 5
137, 5
138, 5
139, 5
140, 5
141, 5
142, 5
143, 5
144, 6
145, 6
146, 6
147, 6
148, 6
149, 7
150, 6
151, 6
152, 6
153, 6
154, 7
155, 6
156, 6
157, 6
158, 6
159, 7
160, 6
161, 6
162, 6
163, 6
164, 7
165, 6
166, 6
167, 6
168, 7
169, 8
170, 7
171, 7
172, 7
173, 8
174, 9
175, 7
176, 7
177, 7
178, 8
179, 9
180, 7
181, 7
182, 7
183, 8
184, 9
185, 7
186, 7
187, 7
188, 8
189, 9
190, 7
191, 7
192, 8
193, 9
194, 10
195, 8
196, 8
197, 9
198, 10
199, 11
200, 8
201, 8
202, 9
203, 10
204, 11
205, 8
206, 8
207, 9
208, 10
209, 11
210, 8
211, 8
212, 9
213, 10
214, 11
215, 8
216, 9
217, 10
218, 11
219, 12
220, 9
221, 10
222, 11
223, 12
224, 13
225, 9
226, 10
227, 11
228, 12
229, 13
230, 9
231, 10
232, 11
233, 12
234, 13
235, 9
236, 10
237, 11
238, 12
239, 13
240, 10
241, 11
242, 12
243, 13
244, 14
245, 15
246, 16
247, 17
248, 18
249, 19
250, 10
251, 10
252, 10
253, 10
254, 10
255, 10
256, 10
257, 10
258, 10
259, 10
260, 10
261, 10
262, 10
263, 10
264, 11
265, 11
266, 11
267, 11
268, 11
269, 12
270, 11
271, 11
272, 11
273, 11
274, 12
275, 11
276, 11
277, 11
278, 11
279, 12
280, 11
281, 11
282, 11
283, 11
284, 12
285, 11
286, 11
287, 11
288, 12
289, 13
290, 12
291, 12
292, 12
293, 13
294, 14
295, 12
296, 12
297, 12
298, 13
299, 14
300, 12
301, 12
302, 12
303, 13
304, 14
305, 12
306, 12
307, 12
308, 13
309, 14
310, 12
311, 12
312, 13
313, 14
314, 15
315, 13
316, 13
317, 14
318, 15
319, 16
320, 13
321, 13
322, 14
323, 15
324, 16
325, 13
326, 13
327, 14
328, 15
329, 16
330, 13
331, 13
332, 14
333, 15
334, 16
335, 13
336, 14
337, 15
338, 16
339, 17
340, 14
341, 15
342, 16
343, 17
344, 18
345, 14
346, 15
347, 16
348, 17
349, 18
350, 14
351, 15
352, 16
353, 17
354, 18
355, 14
356, 15
357, 16
358, 17
359, 18
360, 15
361, 16
362, 17
363, 18
364, 19
365, 20
366, 21
367, 22
368, 23
369, 24
370, 25
371, 26
372, 27
373, 28
374, 29
375, 15
376, 15
377, 15
378, 15
379, 15
380, 15
381, 15
382, 15
383, 15
384, 16
385, 16
386, 16
387, 16
388, 16
389, 17
390, 16
391, 16
392, 16
393, 16
394, 17
395, 16
396, 16
397, 16
398, 16
399, 17
400, 16
401, 16
402, 16
403, 16
404, 17
405, 16
406, 16
407, 16
408, 17
409, 18
410, 17
411, 17
412, 17
413, 18
414, 19
415, 17
416, 17
417, 17
418, 18
419, 19
420, 17
421, 17
422, 17
423, 18
424, 19
425, 17
