n,s0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,2
33,3
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,3
49,4
50,5
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,4
65,5
66,6
67,7
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,5
81,6
82,7
83,8
84,9
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,6
97,7
98,8
99,9
100,10
101,11
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,7
113,8
114,9
115,10
116,11
117,12
118,13
119,7
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,8
129,9
130,10
131,11
132,12
133,13
134,14
135,15
136,8
137,8
138,8
139,8
140,8
141,8
142,8
143,8
144,9
145,10
146,11
147,12
148,13
149,14
150,15
151,16
152,17
153,9
154,9
155,9
156,9
157,9
158,9
159,9
160,10
161,11
162,12
163,13
164,14
165,15
166,16
167,17
168,18
169,19
170,10
171,10
172,10
173,10
174,10
175,10
176,11
177,12
178,13
179,14
180,15
181,16
182,17
183,18
184,19
185,20
186,21
187,11
188,11
189,11
190,11
191,11
192,12
193,13
194,14
195,15
196,16
197,17
198,18
199,19
200,20
201,21
202,22
203,23
204,12
205,12
206,12
207,12
208,13
209,14
210,15
211,16
212,17
213,18
214,19
215,20
216,21
217,22
218,23
219,24
220,25
221,13
222,13
223,13
224,14
225,15
226,16
227,17
228,18
229,19
230,20
231,21
232,22
233,23
234,24
235,25
236,26
237,27
238,14
239,14
240,15
241,16
242,17
243,18
244,19
245,20
246,21
247,22
248,23
249,24
250,25
251,26
252,27
253,28
254,29
255,15
256,16
257,17
258,18
259,19
260,20
261,21
262,22
263,23
264,24
265,25
266,26
267,27
268,28
269,29
270,30
271,31
272,17
273,18
274,19
275,20
276,21
277,22
278,23
279,24
280,25
281,26
282,27
283,28
284,29
285,30
286,31
287,32
288,34
289,18
290,18
291,18
292,18
293,18
294,18
295,18
296,18
297,18
298,18
299,18
300,18
301,18
302,18
303,18
304,19
305,20
306,19
307,19
308,19
309,19
310,19
311,19
312,19
313,19
314,19
315,19
316,19
317,19
318,19
319,19
320,20
321,21
322,22
323,20
324,20
325,20
326,20
327,20
328,20
329,20
330,20
331,20
332,20
333,20
334,20
335,20
336,21
337,22
338,23
339,24
340,21
341,21
342,21
343,21
344,21
345,21
346,21
347,21
348,21
349,21
350,21
351,21
352,22
353,23
354,24
355,25
356,26
357,22
358,22
359,22
360,22
361,22
362,22
363,22
364,22
365,22
366,22
367,22
368,23
369,24
370,25
371,26
372,27
373,28
374,23
375,23
376,23
377,23
378,23
379,23
380,23
381,23
382,23
383,23
384,24
385,25
386,26
387,27
388,28
389,29
390,30
391,24
392,24
393,24
394,24
395,24
396,24
397,24
398,24
399,24
400,25
401,26
402,27
403,28
404,29
405,30
406,31
407,32
408,25
409,25
410,25
411,25
412,25
413,25
414,25
415,25
416,26
417,27
418,28
419,29
420,30
421,31
422,32
423,33
424,34
425,26
426,26
427,26
428,26
429,26
430,26
431,26
432,27
433,28
434,29
435,30
436,31
437,32
438,33
439,34
440,35
441,36
442,27
443,27
444,27
445,27
446,27
447,27
448,28
449,29
450,30
451,31
452,32
453,33
454,34
455,35
456,36
457,37
458,38
459,28
460,28
461,28
462,28
463,28
464,29
465,30
466,31
467,32
468,33
469,34
470,35
471,36
472,37
473,38
474,39
475,40
476,29
477,29
478,29
479,29
480,30
481,31
482,32
483,33
484,34
485,35
486,36
487,37
488,38
489,39
490,40
491,41
492,42
493,30
494,30
495,30
496,31
497,32
498,33
499,34
500,35
501,36
502,37
503,38
504,39
505,40
506,41
507,42
508,43
509,44
510,31
511,31
512,32
513,33
514,34
515,35
516,36
517,37
518,38
519,39
520,40
521,41
522,42
523,43
524,44
525,45
526,46
527,32
528,33
529,34
530,35
531,36
532,37
