x, n0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 1
8, 1
9, 2
10, 1
11, 2
12, 1
13, 2
14, 2
15, 3
16, 2
17, 2
18, 4
19, 4
20, 2
21, 3
22, 5
23, 5
24, 3
25, 4
26, 5
27, 6
28, 4
29, 5
30, 6
31, 7
32, 4
33, 4
34, 4
35, 5
36, 5
37, 6
38, 5
39, 6
40, 5
41, 6
42, 6
43, 7
44, 8
45, 9
46, 10
47, 11
48, 6
49, 7
50, 9
51, 9
52, 7
53, 8
54, 9
55, 10
56, 8
57, 9
58, 10
59, 11
60, 12
61, 13
62, 14
63, 16
64, 9
65, 10
66, 9
67, 10
68, 9
69, 10
70, 10
71, 11
72, 20
73, 21
74, 22
75, 23
76, 24
77, 26
78, 27
79, 28
80, 11
81, 12
82, 13
83, 14
84, 12
85, 13
86, 14
87, 15
88, 24
89, 25
90, 26
91, 28
92, 29
93, 30
94, 31
95, 32
96, 13
97, 14
98, 14
99, 15
100, 16
101, 17
102, 18
103, 19
104, 28
105, 30
106, 31
107, 32
108, 32
109, 34
110, 34
111, 36
112, 16
113, 17
114, 18
115, 19
116, 20
117, 21
118, 22
119, 24
120, 33
121, 34
122, 35
123, 36
124, 37
125, 38
126, 40
127, 41
128, 18
129, 18
130, 20
131, 20
132, 18
133, 19
134, 21
135, 21
136, 19
137, 20
138, 21
139, 22
140, 20
141, 21
142, 22
143, 23
144, 40
145, 40
146, 42
147, 43
148, 44
149, 45
150, 46
151, 47
152, 48
153, 50
154, 51
155, 53
156, 53
157, 55
158, 55
159, 57
160, 22
161, 23
162, 25
163, 25
164, 23
165, 24
166, 25
167, 26
168, 24
169, 25
170, 26
171, 27
172, 28
173, 29
174, 30
175, 32
176, 48
177, 49
178, 50
179, 51
180, 52
181, 53
182, 55
183, 56
184, 58
185, 59
186, 60
187, 61
188, 61
189, 64
190, 65
191, 66
192, 27
193, 28
194, 29
195, 30
196, 28
197, 29
198, 30
199, 31
200, 40
201, 41
202, 42
203, 44
204, 45
205, 46
206, 47
207, 48
208, 57
209, 58
210, 60
211, 61
212, 60
213, 61
214, 64
215, 65
216, 66
217, 76
218, 69
219, 78
220, 71
221, 78
222, 73
223, 82
224, 32
225, 33
226, 34
227, 35
228, 36
229, 37
230, 38
231, 40
232, 49
233, 57
234, 51
235, 59
236, 53
237, 61
238, 56
239, 64
240, 66
241, 67
242, 68
243, 69
244, 68
245, 70
246, 73
247, 74
248, 75
249, 83
250, 77
251, 86
252, 80
253, 87
254, 82
255, 91
256, 36
257, 36
258, 36
259, 37
260, 37
261, 38
262, 37
263, 38
264, 37
265, 38
266, 38
267, 39
268, 40
269, 41
270, 42
271, 43
272, 38
273, 39
274, 41
275, 41
276, 39
277, 40
278, 41
279, 42
280, 40
281, 41
282, 42
283, 43
284, 44
285, 45
286, 46
287, 48
288, 41
289, 42
290, 41
291, 42
292, 41
293, 42
294, 42
295, 43
296, 52
297, 53
298, 54
299, 55
300, 56
301, 58
302, 59
303, 60
304, 43
305, 44
306, 45
307, 46
308, 44
309, 45
310, 46
311, 47
312, 56
313, 57
314, 58
315, 60
316, 61
317, 62
318, 63
319, 64
320, 45
321, 46
322, 46
323, 47
324, 48
325, 49
326, 50
327, 51
328, 60
329, 62
330, 63
331, 64
332, 64
333, 66
334, 66
335, 68
336, 48
337, 49
338, 50
339, 51
340, 52
341, 53
342, 54
343, 56
344, 65
345, 66
346, 67
347, 68
348, 69
349, 70
350, 72
351, 73
352, 82
353, 83
354, 84
355, 85
356, 84
357, 86
358, 89
359, 90
360, 98
361, 99
362, 101
363, 102
364, 102
365, 103
366, 106
367, 107
368, 108
369, 115
370, 117
371, 120
372, 113
373, 120
374, 123
375, 124
376, 123
377, 132
378, 128
379, 137
380, 128
381, 137
382, 132
383, 141
384, 54
385, 55
386, 57
387, 57
388, 55
389, 56
390, 57
391, 58
392, 56
393, 57
394, 58
395, 59
396, 60
397, 61
398, 62
399, 64
400, 80
401, 81
402, 82
403, 83
404, 84
405, 85
406, 87
407, 88
408, 90
409, 91
410, 92
411, 93
412, 93
413, 96
414, 97
415, 98
416, 59
417, 60
418, 61
419, 62
420, 60
421, 61
422, 62
423, 63
424, 72
425, 73
