x, n0
0, 0
1, 0
2, 1
3, 1
4, 2
5, 3
6, 3
7, 4
8, 6
9, 4
10, 5
11, 6
12, 6
13, 7
14, 9
15, 13
16, 14
17, 16
18, 9
19, 10
20, 12
21, 16
22, 17
23, 19
24, 20
25, 22
26, 27
27, 13
28, 14
29, 15
30, 15
31, 16
32, 18
33, 22
34, 23
35, 25
36, 18
37, 19
38, 21
39, 25
40, 26
41, 28
42, 29
43, 31
44, 36
45, 45
46, 48
47, 51
48, 51
49, 55
50, 59
51, 58
52, 63
53, 67
54, 27
55, 28
56, 30
57, 34
58, 35
59, 37
60, 38
61, 40
62, 45
63, 54
64, 57
65, 60
66, 60
67, 63
68, 66
69, 67
70, 72
71, 76
72, 69
73, 73
74, 77
75, 76
76, 81
77, 85
78, 96
79, 96
80, 108
81, 40
82, 41
83, 42
84, 42
85, 43
86, 45
87, 49
88, 50
89, 52
90, 45
91, 46
92, 48
93, 52
94, 53
95, 55
96, 56
97, 58
98, 63
99, 72
100, 75
101, 78
102, 78
103, 82
104, 86
105, 85
106, 90
107, 94
108, 54
109, 55
110, 57
111, 61
112, 62
113, 64
114, 65
115, 67
116, 72
117, 81
118, 84
119, 87
120, 87
121, 90
122, 93
123, 94
124, 99
125, 103
126, 96
127, 100
128, 104
129, 103
130, 108
131, 112
132, 123
133, 123
134, 135
135, 145
136, 149
137, 154
138, 159
139, 163
140, 171
141, 178
142, 186
143, 193
144, 168
145, 172
146, 180
147, 187
148, 195
149, 202
150, 203
151, 216
152, 225
153, 196
154, 204
155, 211
156, 213
157, 223
158, 234
159, 232
160, 243
161, 252
162, 81
163, 82
164, 84
165, 88
166, 89
167, 91
168, 92
169, 94
170, 99
171, 108
172, 111
173, 114
174, 114
175, 117
176, 120
177, 121
178, 126
179, 130
180, 123
181, 127
182, 131
183, 130
184, 135
185, 139
186, 150
187, 150
188, 162
189, 172
190, 176
191, 181
192, 186
193, 190
194, 198
195, 205
196, 213
197, 220
198, 195
199, 199
200, 207
201, 208
202, 222
203, 229
204, 231
205, 243
206, 252
207, 217
208, 225
209, 238
210, 240
211, 247
212, 261
213, 261
214, 270
215, 283
216, 222
217, 226
218, 234
219, 241
220, 249
221, 256
222, 263
223, 270
224, 279
225, 250
226, 258
227, 265
228, 272
229, 279
230, 288
231, 288
232, 297
233, 310
234, 299
235, 306
236, 317
237, 315
238, 326
239, 337
240, 370
241, 376
242, -1
243, 121
244, 122
245, 123
246, 123
247, 124
248, 126
249, 130
250, 131
251, 133
252, 126
253, 127
254, 129
255, 133
256, 134
257, 136
258, 137
259, 139
260, 144
261, 153
262, 156
263, 159
264, 159
265, 163
266, 167
267, 166
268, 171
269, 175
270, 135
271, 136
272, 138
273, 142
274, 143
275, 145
276, 146
277, 148
278, 153
279, 162
280, 165
281, 168
282, 168
283, 171
284, 174
285, 175
286, 180
287, 184
288, 177
289, 181
290, 185
291, 184
292, 189
293, 193
294, 204
295, 204
296, 216
297, 226
298, 230
299, 235
300, 240
301, 244
302, 252
303, 259
304, 267
305, 274
306, 249
307, 253
308, 261
309, 268
310, 276
311, 283
312, 284
313, 297
314, 306
315, 277
316, 285
317, 292
318, 294
319, 304
320, 315
321, 313
322, 324
323, 333
324, 162
325, 163
326, 165
327, 169
328, 170
329, 172
330, 173
331, 175
332, 180
333, 189
334, 192
335, 195
336, 195
337, 198
338, 201
339, 202
340, 207
341, 211
342, 204
343, 208
344, 212
345, 211
346, 216
347, 220
348, 231
349, 231
350, 243
351, 253
352, 257
353, 262
354, 267
355, 271
356, 279
357, 286
358, 294
359, 301
360, 276
361, 280
362, 288
363, 289
364, 303
365, 310
366, 312
367, 324
368, 333
369, 298
370, 306
371, 319
372, 321
373, 328
374, 342
375, 342
376, 351
377, 364
378, 303
379, 307
380, 315
381, 322
382, 330
383, 337
384, 344
385, 351
386, 360
387, 331
388, 339
389, 346
390, 353
391, 360
392, 369
393, 369
394, 378
395, 391
396, 380
397, 387
398, 398
399, 396
400, -1
401, -1
402, -1
403, -1
404, -1
405, -1
406, -1
407, -1
408, -1
409, -1
410, -1
411, -1
412, -1
413, -1
414, -1
415, -1
416, -1
417, -1
418, -1
419, -1
420, -1
421, -1
422, -1
423, -1
424, -1
425, -1
