n,s0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,2
30,1
31,1
32,2
33,1
34,1
35,3
36,1
37,1
38,2
39,1
40,1
41,2
42,1
43,1
44,3
45,1
46,1
47,2
48,1
49,1
50,2
51,1
52,2
53,4
54,2
55,3
56,4
57,2
58,3
59,4
60,2
61,3
62,4
63,2
64,3
65,4
66,2
67,3
68,4
69,2
70,3
71,4
72,2
73,3
74,4
75,2
76,3
77,4
78,3
79,4
80,5
81,3
82,3
83,3
84,3
85,3
86,3
87,5
88,5
89,6
90,3
91,3
92,3
93,3
94,3
95,3
96,5
97,5
98,6
99,3
100,3
101,3
102,3
103,3
104,4
105,6
106,6
107,7
108,4
109,4
110,5
111,4
112,4
113,6
114,7
115,7
116,8
117,4
118,4
119,5
120,4
121,4
122,6
123,7
124,7
125,8
126,4
127,4
128,5
129,4
130,5
131,7
132,8
133,8
134,10
135,5
136,6
137,7
138,5
139,6
140,7
141,8
142,9
143,10
144,5
145,6
146,7
147,5
148,6
149,7
150,8
151,9
152,10
153,5
154,6
155,7
156,6
157,7
158,8
159,9
160,10
161,11
162,6
163,6
164,6
165,8
166,8
167,9
168,10
169,11
170,12
171,6
172,6
173,6
174,8
175,8
176,9
177,10
178,11
179,12
180,6
181,6
182,7
183,9
184,9
185,10
186,11
187,12
188,13
189,7
190,7
191,9
192,10
193,10
194,11
195,12
196,13
197,14
198,7
199,7
200,9
201,10
202,10
203,11
204,12
205,13
206,14
207,7
208,8
209,10
210,11
211,11
212,13
213,14
214,14
215,16
216,8
217,9
218,10
219,11
220,12
221,13
222,14
223,15
224,16
225,8
226,9
227,10
228,11
229,12
230,13
231,14
232,15
233,16
234,9
235,10
236,11
237,12
238,13
239,14
240,15
241,16
242,17
243,9
244,9
245,9
246,9
247,9
248,9
249,9
250,9
251,9
252,9
253,9
254,9
255,9
256,9
257,9
258,9
259,9
260,10
261,10
262,10
263,11
264,10
265,10
266,11
267,10
268,10
269,12
270,10
271,10
272,11
273,10
274,10
275,11
276,10
277,10
278,12
279,10
280,10
281,11
282,10
283,10
284,11
285,10
286,11
287,13
288,11
289,12
290,13
291,11
292,12
293,13
294,11
295,12
296,13
297,11
298,12
299,13
300,11
301,12
302,13
303,11
304,12
305,13
306,11
307,12
308,13
309,11
310,12
311,13
312,12
313,13
314,14
315,15
316,16
317,17
318,18
319,19
320,20
321,21
322,22
323,23
324,12
325,12
326,12
327,12
328,12
329,12
330,14
331,14
332,15
333,12
334,12
335,12
336,12
337,12
338,13
339,15
340,15
341,16
342,13
343,13
344,14
345,13
346,13
347,15
348,16
349,16
350,17
351,13
352,13
353,14
354,13
355,13
356,15
357,16
358,16
359,17
360,13
361,13
362,14
363,13
364,14
365,16
366,17
367,17
368,19
369,14
370,15
371,16
372,14
373,15
374,16
375,17
376,18
377,19
378,14
379,15
380,16
381,14
382,15
383,16
384,17
385,18
386,19
387,14
388,15
389,16
390,15
391,16
392,17
393,18
394,19
395,20
396,21
397,22
398,23
399,24
400,25
401,26
402,27
403,28
404,29
405,15
406,15
407,15
408,17
409,17
410,18
411,19
412,20
413,21
414,15
415,15
416,16
417,18
418,18
419,19
420,20
421,21
422,22
423,16
424,16
425,18
426,19
427,19
428,20
429,21
430,22
431,23
432,16
433,16
434,18
435,19
436,19
437,20
438,21
439,22
440,23
441,16
442,17
443,19
444,20
445,20
446,22
447,23
448,23
449,25
450,17
451,18
452,19
453,20
454,21
455,22
456,23
457,24
458,25
459,17
460,18
461,19
462,20
463,21
464,22
465,23
466,24
467,25
468,18
469,19
470,20
471,21
472,22
473,23
474,24
475,25
476,26
477,27
478,28
479,29
480,30
481,31
482,32
483,33
484,34
485,35
486,18
487,18
488,18
489,18
490,18
491,18
492,18
493,18
494,19
495,19
496,19
497,20
498,19
499,19
500,20
501,19
502,19
503,21
504,19
505,19
506,20
507,19
508,19
509,20
510,19
511,19
512,21
513,19
514,19
515,20
516,19
517,19
518,20
519,19
520,20
521,22
522,20
523,21
524,22
525,20
526,21
527,22
528,20
529,21
530,22
531,20
532,21
